#{"t_start": 1764939802.515601, "env_id": "highway-construction-v0"}
r,l,t
-135.782131,235,2.108207
-23.569219,20,2.265101
-44.202922,11,2.343444
-28.519089,81,2.897648
-38.607736,25,3.07692
-50.0,1,3.08754
-38.611327,13,3.184486
-38.10769,30,3.401148
-34.820279,27,3.589707
-47.048049,24,3.770192
-50.0,1,3.780087
-50.0,1,3.789838
-48.669469,15,3.895845
-39.55542,17,4.016383
-49.348812,10,4.082826
-26.750051,19,4.213428
-34.957294,36,4.478875
-48.917821,3,4.501199
-47.226984,13,4.584726
-43.408157,7,4.636247
-50.179353,2,4.652374
-41.665174,19,4.785589
-50.039779,5,4.822988
-43.04424,5,4.86257
-43.167099,13,4.954379
-45.109684,8,5.009753
-50.855124,5,5.046676
-32.93962,45,5.353784
-43.051476,17,5.470357
-47.789125,51,5.794109
-48.34211,2,5.810302
-1326.533155,600,9.66956
-50.0,1,9.679433
-50.0,1,9.689459
-47.79162,36,9.926599
-50.0,1,9.936284
-43.19185,29,10.134137
-43.83598,10,10.208741
-50.0,1,10.220675
-40.99277,15,10.350294
-50.0,1,10.360292
-48.471303,11,10.442161
-49.21746,6,10.48383
-52.589954,28,10.693018
-33.84846,24,10.857353
-43.724408,11,10.940361
-39.657327,13,11.026953
-38.163454,15,11.131071
-32.035119,42,11.452681
-48.34211,2,11.468859
-47.627292,16,11.58245
-46.671293,45,11.898984
-46.952232,9,11.962333
-44.628512,27,12.145332
-47.493586,7,12.195273
-36.339199,32,12.415083
-46.366033,8,12.475369
-47.756052,3,12.497863
-48.693357,12,12.580935
-44.033084,33,12.816828
-28.712625,18,12.950239
-27.094286,21,13.123359
-50.807591,67,13.622351
-45.680034,14,13.718636
-37.350323,19,13.853085
-46.786625,14,13.960315
-34.565188,20,14.106182
-50.0,1,14.117069
-1100.271238,600,18.302422
-972.26219,600,22.347384
-50.0,1,22.358156
-41.530731,15,22.460189
-40.987015,10,22.534562
-928.107856,600,26.763387
-36.654049,16,26.872214
-12.167024,70,27.358006
-5.518533,35,27.601816
-30.139535,31,27.808087
-50.0,1,27.818215
-44.808103,7,27.868776
-18.695674,64,28.289107
-48.34211,2,28.306517
-52.566495,27,28.49476
-38.839433,140,29.524797
-19.386436,68,29.971746
-48.34211,2,29.990045
-48.473171,4,30.020011
-44.025195,19,30.151294
-47.408619,12,30.239583
-48.912333,8,30.300032
-8.854254,50,30.682731
-41.816685,11,30.765559
-35.634949,49,31.108409
-50.0,1,31.118442
-49.990103,11,31.195359
-47.344422,13,31.284804
-508.850063,600,37.783693
-45.666058,81,38.32573
-48.149832,14,38.423148
-49.14211,2,38.441231
-47.213733,33,38.663653
-33.557488,20,38.806295
-32.972222,43,39.084531
-50.536425,6,39.127365
-31.032437,36,39.364009
-50.0,1,39.374047
-46.227227,9,39.437351
-45.265638,14,39.531664
-25.644906,30,39.734384
-41.891631,17,39.861199
-43.38136,13,39.946468
-38.016237,17,40.072596
-51.959277,36,40.325134
-36.876256,34,40.574509
-14.23418,41,40.861434
-48.275334,40,41.131246
-17.334678,54,41.490935
-38.71382,13,41.588515
-47.670109,23,41.749091
-33.104199,26,41.942336
-48.818468,6,41.986615
-45.090043,7,42.036465
-47.573154,5,42.07266
-46.302234,8,42.128506
-16.983927,29,42.324469
-44.3676,39,42.585102
-1220.584732,600,46.308026
-15.866058,43,46.579046
-31.973523,61,47.000039
-44.522674,118,47.895774
-14.831878,28,48.080141
-46.468523,7,48.133896
-35.921895,15,48.233821
-47.454133,12,48.32197
-23.163355,24,48.486591
-41.980004,10,48.558779
-41.103033,14,48.653846
-28.400498,42,48.960898
-29.222124,22,49.108333
-43.267408,14,49.202519
-45.246569,17,49.333114
-46.113471,29,49.543796
-37.786878,20,49.687384
-48.484792,8,49.745941
-47.373361,25,49.921036
-50.962048,6,49.962896
-36.308376,22,50.125926
-39.379987,34,50.371666
-46.009204,19,50.498932
-42.951948,25,50.681977
-259.181999,261,52.226015
-141.253702,219,53.717517
-47.341989,9,53.787488
-23.405875,20,53.922033
-42.969966,6,53.965073
-50.0,1,53.974345
-23.364285,42,54.266737
-40.755592,29,54.459372
-39.420118,10,54.528562
-39.757267,15,54.636275
-47.329745,3,54.660948
-21.330811,21,54.8167
-48.16316,6,54.86112
-37.850879,12,54.954778
-47.403129,17,55.07107
-35.748499,19,55.207588
-43.386271,12,55.292827
-1191.805668,600,58.789759
-35.047257,20,58.937809
-50.0,1,58.947629
-19.531474,66,59.401783
-31.305731,19,59.541347
-163.133015,218,61.058759
-46.480667,6,61.102582
-48.917821,3,61.127027
-48.851663,13,61.215814
-48.623756,6,61.261002
-35.017663,15,61.374961
-50.0,1,61.384819
-39.764504,29,61.595353
-46.336592,28,61.788613
-41.260845,9,61.850258
-44.405875,10,61.929456
-44.411011,30,62.145739
-27.068677,52,62.494016
-50.0,1,62.503634
-44.636842,5,62.565935
-37.845184,14,62.660612
-44.162667,13,62.753308
-41.11831,22,62.903423
-38.464778,10,62.975667
-46.513811,21,63.114251
-24.88362,52,63.500105
-0.746304,52,63.89492
-50.0,1,63.90462
-14.124943,39,64.165932
-40.450493,48,64.502804
-37.217127,37,64.747181
